MTS,OPEN,CLOSE,HIGH,LOW,VOLUME
2017-11-20 17:15:00,8260.7,8270.1,8270.1,8260.6,7.60068981
2017-11-20 17:00:00,8250.0,8268.8,8278.0,8249.9,510.16716553
2017-11-20 16:45:00,8244.2,8250.0,8250.0,8227.3,219.46700953
2017-11-20 16:30:00,8241.1,8244.1,8257.0,8210.0,548.43055591
2017-11-20 16:15:00,8210.0,8241.0,8250.0,8210.0,434.6234407
2017-11-20 16:00:00,8212.2,8210.0,8240.3,8198.0,280.86677464
2017-11-20 15:45:00,8200.1,8208.0,8227.7,8196.1,352.50421107
2017-11-20 15:30:00,8211.4,8200.0,8220.0,8175.2,344.23901996
2017-11-20 15:15:00,8246.1,8211.3,8247.0,8176.8,794.66131313
2017-11-20 15:00:00,8260.4,8244.3,8277.9,8236.2,411.83177782
2017-11-20 14:45:00,8230.1,8259.6,8276.0,8230.0,983.64260102
2017-11-20 14:30:00,8247.4,8230.1,8247.6,8200.0,614.50326392
2017-11-20 14:15:00,8216.9,8247.6,8250.0,8209.7,584.81929566
2017-11-20 14:00:00,8172.9,8219.8,8220.0,8160.0,1584.94022486
2017-11-20 13:45:00,8175.0,8172.9,8175.0,8150.1,219.77433845
2017-11-20 13:30:00,8155.1,8172.1,8175.1,8140.5,612.18385227
2017-11-20 13:15:00,8189.0,8155.1,8190.0,8150.0,522.97697829
2017-11-20 13:00:00,8149.8,8188.8,8190.0,8138.0,1278.45356527
2017-11-20 12:45:00,8144.6,8150.0,8151.4,8135.0,380.48662823
2017-11-20 12:30:00,8154.1,8140.5,8163.2,8101.2,707.88167504
2017-11-20 12:15:00,8109.3,8154.2,8154.2,8105.3,1395.57929192
2017-11-20 12:00:00,8068.83540561,8109.8,8110.0,8068.83540561,458.72529771
2017-11-20 11:45:00,8080.2,8068.83540561,8090.0,8060.4,200.9575314
2017-11-20 11:30:00,8059.0,8082.3,8090.0,8058.4,222.74799635
2017-11-20 11:15:00,8048.9,8058.9,8060.0,8048.0,124.78408328
2017-11-20 11:00:00,8054.2,8048.9,8069.9,8042.0,128.84300207
2017-11-20 10:45:00,8043.0,8052.3,8062.0,8041.0,151.88696369
2017-11-20 10:30:00,8040.0,8044.0,8045.0,8035.6,161.97120291
2017-11-20 10:15:00,8040.2,8040.0,8045.0,8035.0,83.62899038
2017-11-20 10:00:00,8034.9,8044.5,8055.0,8034.9,231.74731392
2017-11-20 09:45:00,8034.9,8034.9,8049.9,8024.8,197.30896045
2017-11-20 09:30:00,8060.4,8035.0,8067.0,8025.0,256.45220129
2017-11-20 09:15:00,8059.9,8059.2,8068.0,8039.0,233.28593194
2017-11-20 09:00:00,8063.1,8059.9,8069.0,8058.2,143.3835891
2017-11-20 08:45:00,8063.0,8063.3,8068.2,8046.0,314.74246759
2017-11-20 08:30:00,8055.1,8064.2,8080.8,8055.0,274.01429563
2017-11-20 08:15:00,8047.0,8055.1,8071.3,8047.0,430.16304592
2017-11-20 08:00:00,8029.0,8047.0,8048.0,8022.5,140.2974785
2017-11-20 07:45:00,8026.8,8028.5,8034.2,8002.3,154.5475933
2017-11-20 07:30:00,8046.9,8022.2,8047.0,8020.0,183.02669298
2017-11-20 07:15:00,8049.1,8045.1,8050.0,8033.0,138.24381022
2017-11-20 07:00:00,8034.1,8049.1,8050.0,8032.1,227.77201138
2017-11-20 06:45:00,7994.2,8034.2,8048.8,7990.0,866.8666731
